test,rad,%,MFCS_forb,MFCS_scat,MFCS_score,MFCS_time,TGV_forb,TGV_scat,TGV_score,TGV_time,TGV2_forb,TGV2_scat,TGV2_score,TGV2_time,tree_forb,tree_scat,tree_score,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_score,tree_shrink_time,ldit_forb,ldit_scat,ldit_score,ldit_time,ldpow_forb,ldpow_scat,ldpow_score,ldpow_time,TGV3_forb,TGV3_scat,TGV3_score,TGV3_time
big/planar8500.txtg,3,100,1119,1773,11,0:00.45,0,55,55,0:01.50,0,340,340,0:01.57,0,570,570,0:00.22,0,570,570,0:00.11,0,610,610,0:00.09,0,733,733,0:02.50,-,-,-,TIMEOUT
big/planar8500.txtg,3,20,186,289,9,0:00.06,0,35,35,0:01.27,0,194,194,0:00.96,0,323,323,0:00.07,0,323,323,0:00.05,0,334,334,0:00.05,0,365,365,0:00.47,-,-,-,TIMEOUT
big/polblogs.txtg,3,100,440,600,21,0:00.08,0,1,1,0:48.55,26,14,8,0:43.87,0,40,40,0:00.15,0,40,40,0:00.06,0,41,41,0:00.10,0,42,42,0:01.59,0,42,42,6:15.11
big/polblogs.txtg,3,20,263,141,4,0:00.05,0,1,1,0:38.70,0,1,1,0:34.66,0,15,15,0:00.04,0,15,15,0:00.03,0,16,16,0:00.03,0,16,16,0:00.51,0,16,16,2:15.59
big/sb-12-0.txtg,3,100,1,32,30,0:00.05,0,20,20,0:02.34,0,121,121,0:00.79,0,216,216,0:00.06,0,216,216,0:00.05,0,209,209,0:00.04,0,252,252,0:01.50,0,248,248,9:32.64
big/sb-12-0.txtg,3,20,0,15,15,0:00.04,0,11,11,0:01.71,0,78,78,0:00.60,0,94,94,0:00.04,0,94,94,0:00.03,0,111,111,0:00.03,0,128,128,0:00.23,0,124,124,1:24.30
big/sb-12-1.txtg,3,100,134,98,1,0:00.05,0,18,18,0:03.16,0,125,125,0:00.91,0,232,232,0:00.06,0,232,232,0:00.05,0,221,221,0:00.05,0,259,259,0:01.50,-,-,-,NO
big/sb-12-1.txtg,3,20,-,-,-,NO,-,-,-,NO,-,-,-,NO,-,-,-,NO,-,-,-,NO,0,109,109,0:00.04,-,-,-,NO,0,122,122,1:24.05
big/as20000102.txtg,4,100,655,5347,274,0:00.84,8,75,67,0:07.59,9,84,17,0:06.66,0,89,89,0:01.13,0,89,89,0:00.52,0,99,99,0:00.56,5,1167,298,0:22.43,-,-,-,TIMEOUT
big/as20000102.txtg,4,20,300,1190,77,0:00.07,1,71,70,0:05.78,1,77,70,0:05.32,0,42,42,0:00.10,0,42,42,0:00.06,0,49,49,0:00.07,9,413,82,0:03.64,-,-,-,TIMEOUT
