test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
lesmiserables,3,18,0:00.00 ,20,0:00.08 ,26,0:00.01 ,19,0:00.01 ,16,0:00.00 ,20,0:00.00 ,30,0:00.16 
photoviz_dynamic,3,19,0:00.00 ,29,0:00.33 ,18,0:00.01 ,24,0:00.00 ,22,0:00.00 ,18,0:00.04 ,26,0:00.26 
planar302,3,13,0:00.00 ,23,0:00.29 ,16,0:00.00 ,13,0:00.00 ,13,0:00.00 ,13,0:00.01 ,25,0:00.21 
planar350,3,14,0:00.01 ,25,0:00.23 ,18,0:00.02 ,13,0:00.02 ,14,0:00.00 ,14,0:00.02 ,21,0:00.20 
planar400,3,14,0:00.01 ,28,0:00.41 ,15,0:00.00 ,14,0:00.01 ,12,0:00.00 ,13,0:00.02 ,24,0:00.23 
planar500,3,12,0:00.01 ,24,0:00.30 ,14,0:00.00 ,13,0:00.00 ,12,0:00.01 ,12,0:00.02 ,15,0:00.24 
planar600,3,12,0:00.01 ,20,0:00.57 ,12,0:00.00 ,11,0:00.01 ,12,0:00.01 ,11,0:00.03 ,14,0:00.25 
polbooks,3,29,0:00.00 ,41,0:00.11 ,25,0:00.00 ,28,0:00.00 ,23,0:00.00 ,24,0:00.00 ,32,0:00.21 
word_adjacencies,3,35,0:00.00 ,48,0:00.10 ,41,0:00.01 ,40,0:00.00 ,30,0:00.02 ,34,0:00.00 ,40,0:00.19 
bergen,4,21,0:00.01 ,24,0:00.08 ,22,0:00.00 ,22,0:00.00 ,22,0:00.00 ,21,0:00.01 ,27,0:00.15 
dolphins,4,25,0:00.00 ,24,0:00.08 ,21,0:00.00 ,29,0:00.00 ,21,0:00.00 ,20,0:00.00 ,32,0:00.18 
football,4,95,0:00.00 ,87,0:00.13 ,63,0:00.05 ,96,0:00.00 ,81,0:00.01 ,57,0:00.02 ,106,0:00.42 
fvs002,4,17,0:00.00 ,17,0:00.30 ,13,0:00.00 ,14,0:00.01 ,12,0:00.01 ,13,0:00.02 ,18,0:00.24 
fvs020,4,11,0:00.00 ,9,0:00.08 ,9,0:00.00 ,9,0:00.00 ,9,0:00.00 ,9,0:00.00 ,11,0:00.15 
fvs033,4,26,0:00.00 ,23,0:03.87 ,19,0:00.24 ,36,0:00.01 ,22,0:00.01 ,21,0:00.12 ,29,0:00.53 
fvs047,4,33,0:00.00 ,26,0:00.11 ,22,0:00.01 ,34,0:00.00 ,26,0:00.00 ,23,0:00.01 ,39,0:00.20 
fvs051,4,46,0:00.01 ,36,0:00.09 ,31,0:00.02 ,45,0:00.01 ,44,0:00.01 ,33,0:00.00 ,44,0:00.19 
fvs066,4,116,0:00.01 ,74,0:00.18 ,81,0:00.06 ,125,0:00.00 ,97,0:00.02 ,80,0:00.03 ,113,0:00.42 
fvs097,4,36,0:00.00 ,36,0:00.11 ,26,0:00.03 ,34,0:00.00 ,37,0:00.01 ,31,0:00.00 ,36,0:00.20 
fvs099,4,10,0:00.00 ,10,0:00.09 ,11,0:00.00 ,10,0:00.00 ,10,0:00.01 ,9,0:00.01 ,10,0:00.15 
fvs100,4,36,0:00.00 ,38,0:00.26 ,29,0:00.01 ,39,0:00.00 ,36,0:00.00 ,29,0:00.01 ,39,0:00.24 
hex,4,39,0:00.00 ,34,0:00.72 ,28,0:00.04 ,39,0:00.00 ,29,0:00.02 ,27,0:00.03 ,38,0:00.33 
karate,4,9,0:00.00 ,8,0:00.09 ,11,0:00.00 ,10,0:00.00 ,9,0:00.00 ,9,0:00.00 ,17,0:00.15 
lesmiserables,4,18,0:00.00 ,20,0:00.08 ,28,0:00.01 ,20,0:00.01 ,18,0:00.01 ,20,0:00.01 ,33,0:00.14 
photoviz_dynamic,4,25,0:00.00 ,38,0:00.33 ,21,0:00.01 ,36,0:00.00 ,26,0:00.00 ,26,0:00.02 ,33,0:00.28 
planar302,4,15,0:00.00 ,28,0:00.29 ,21,0:00.00 ,15,0:00.00 ,15,0:00.02 ,15,0:00.03 ,33,0:00.22 
