test,rad,%,MFCS_forb,MFCS_scat,MFCS_time,TGV_forb,TGV_scat,TGV_time,TGV2_forb,TGV2_scat,TGV2_time,tree_forb,tree_scat,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_time,ldit_forb,ldit_scat,ldit_time,ldpow_forb,ldpow_scat,ldpow_time,TGV3_forb,TGV3_scat,TGV3_time
small/planar302.txtg,3,20,35,40,0:00.00,3,4,0:00.04,0,4,0:00.04,0,9,0:00.00,0,9,0:00.00,0,9,0:00.00,0,9,0:00.01,0,9,0:00.47
small/planar350.txtg,3,100,89,124,0:00.01,0,3,0:00.05,0,9,0:00.05,0,22,0:00.01,0,22,0:00.01,0,23,0:00.01,0,27,0:00.03,0,27,0:03.63
small/planar350.txtg,3,20,27,37,0:00.00,2,2,0:00.04,0,7,0:00.04,0,11,0:00.00,0,11,0:00.00,0,11,0:00.00,0,16,0:00.01,0,16,0:00.62
small/planar400.txtg,3,100,108,160,0:00.01,0,6,0:00.06,0,14,0:00.05,0,33,0:00.01,0,33,0:00.00,0,35,0:00.01,0,40,0:00.03,0,40,0:04.47
small/planar400.txtg,3,20,30,44,0:00.00,2,4,0:00.04,0,10,0:00.04,0,18,0:00.00,0,18,0:00.00,0,19,0:00.00,0,20,0:00.01,0,20,0:00.78
small/planar500.txtg,3,100,99,193,0:00.01,0,6,0:00.05,0,27,0:00.04,0,56,0:00.01,0,56,0:00.00,0,58,0:00.01,0,65,0:00.03,0,65,0:08.00
small/planar500.txtg,3,20,15,25,0:00.00,0,4,0:00.04,1,10,0:00.03,0,24,0:00.00,0,24,0:00.00,0,24,0:00.00,0,26,0:00.01,0,26,0:01.00
small/planar600.txtg,3,100,86,212,0:00.01,0,22,0:00.05,0,57,0:00.05,0,85,0:00.01,0,85,0:00.00,0,87,0:00.01,0,91,0:00.03,0,91,0:12.68
small/planar600.txtg,3,20,30,63,0:00.00,0,12,0:00.04,0,19,0:00.03,0,38,0:00.01,0,38,0:00.01,0,39,0:00.01,0,41,0:00.01,0,41,0:01.59
small/polbooks.txtg,3,100,37,28,0:00.00,2,3,0:00.04,2,3,0:00.04,0,3,0:00.00,0,3,0:00.00,0,4,0:00.00,0,5,0:00.01,0,5,0:00.41
small/polbooks.txtg,3,20,15,9,0:00.00,0,2,0:00.04,2,3,0:00.03,0,3,0:00.00,0,3,0:00.00,0,3,0:00.00,0,3,0:00.00,0,3,0:00.14
small/word_adjacencies.txtg,3,100,42,42,0:00.00,0,1,0:00.07,6,6,0:00.08,0,6,0:00.00,0,6,0:00.00,0,6,0:00.01,0,8,0:00.02,0,8,0:00.63
small/word_adjacencies.txtg,3,20,18,11,0:00.00,1,2,0:00.06,1,2,0:00.06,0,2,0:00.00,0,2,0:00.00,0,2,0:00.00,0,3,0:00.01,0,3,0:00.22
small/bergen.txtg,4,100,23,22,0:00.00,0,1,0:00.03,0,1,0:00.03,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,5,3,0:00.00,14,12,0:00.29
small/bergen.txtg,4,20,16,8,0:00.00,4,3,0:00.02,4,3,0:00.03,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,12,4,0:00.09
