test,rad,%,mfcs_forb,mfcs_scat,mfcs_score,mfcs_time,new1_forb,new1_scat,new1_score,new1_time,new2_forb,new2_scat,new2_score,new2_time,tree1_forb,tree1_scat,tree1_score,tree1_time,tree2_forb,tree2_scat,tree2_score,tree2_time,ld_it_forb,ld_it_scat,ld_it_score,ld_it_time,ld_forb,ld_scat,ld_score,ld_time,new_ld_forb,new_ld_scat,new_ld_score,new_ld_time
medium/fvs008.txtg,2,100,0,316,316,0:00.03,0,280,280,0:00.24,0,354,354,0:00.26,0,469,469,0:00.03,0,469,469,0:00.02,0,469,469,0:00.02,0,514,514,0:00.05,0,514,514,1:07.08
medium/fvs008.txtg,2,20,0,150,150,0:00.01,0,130,130,0:00.06,0,188,188,0:00.06,0,207,207,0:00.03,0,207,207,0:00.01,0,208,208,0:00.01,0,216,216,0:00.02,0,216,216,0:07.23
medium/fvs014.txtg,2,100,10,49,12,0:00.02,10,11,10,0:00.37,10,11,10,0:00.27,0,21,21,0:01.46,0,21,21,0:00.22,0,21,21,0:00.85,0,22,22,0:00.83,0,22,22,2:36.88
medium/fvs014.txtg,2,20,6,20,14,0:00.01,0,15,15,0:00.51,5,6,5,0:00.19,0,17,17,0:00.06,0,17,17,0:00.02,0,20,20,0:00.04,0,21,21,0:00.13,0,21,21,0:13.40
medium/fvs021.txtg,2,100,0,314,314,0:00.03,0,275,275,0:00.24,0,357,357,0:00.26,0,478,478,0:00.03,0,478,478,0:00.02,0,478,478,0:00.02,0,514,514,0:00.04,0,514,514,1:05.51
medium/fvs021.txtg,2,20,0,159,159,0:00.02,0,141,141,0:00.06,0,207,207,0:00.07,0,218,218,0:00.01,0,218,218,0:00.01,0,218,218,0:00.01,0,224,224,0:00.02,0,224,224,0:07.38
medium/fvs023.txtg,2,100,7,27,11,0:00.01,0,22,22,0:00.04,0,22,22,0:00.03,0,15,15,0:00.02,0,15,15,0:00.01,0,15,15,0:00.02,0,23,23,0:00.02,0,23,23,0:01.22
medium/fvs023.txtg,2,20,0,14,14,0:00.01,0,14,14,0:00.02,0,17,17,0:00.03,0,13,13,0:00.01,0,13,13,0:00.01,0,15,15,0:00.01,0,19,19,0:00.01,0,19,19,0:00.28
medium/fvs052.txtg,2,100,0,222,222,0:00.03,0,188,188,0:00.27,0,274,274,0:00.22,0,396,396,0:00.02,0,396,396,0:00.02,0,401,401,0:00.01,0,460,460,0:00.04,0,460,460,0:31.16
medium/fvs052.txtg,2,20,0,117,117,0:00.01,0,99,99,0:00.06,0,159,159,0:00.06,0,180,180,0:00.02,0,180,180,0:00.01,0,185,185,0:00.01,0,196,196,0:00.02,0,196,196,0:04.22
medium/fvs056.txtg,2,100,0,236,236,0:00.03,0,201,201,0:00.30,0,281,281,0:00.24,0,412,412,0:00.02,0,412,412,0:00.02,0,416,416,0:00.02,0,487,487,0:00.04,0,485,485,0:35.58
medium/fvs056.txtg,2,20,0,120,120,0:00.02,0,106,106,0:00.07,0,158,158,0:00.07,0,174,174,0:00.01,0,174,174,0:00.01,0,179,179,0:00.01,0,190,190,0:00.02,0,190,190,0:04.61
medium/fvs078.txtg,2,100,0,494,494,0:00.07,0,485,485,0:01.18,0,592,592,0:00.89,0,781,781,0:00.05,0,781,781,0:00.03,0,794,794,0:00.02,0,982,982,0:00.05,0,981,981,1:43.51
medium/fvs078.txtg,2,20,0,260,260,0:00.02,0,249,249,0:00.18,0,356,356,0:00.17,0,379,379,0:00.02,0,379,379,0:00.02,0,381,381,0:00.01,0,403,403,0:00.03,0,403,403,0:14.08
medium/netscience.txtg,2,100,0,291,291,0:00.03,0,289,289,0:00.26,0,304,304,0:00.23,0,347,347,0:00.02,0,347,347,0:00.02,0,347,347,0:00.01,0,349,349,0:00.03,0,348,348,0:28.89
medium/netscience.txtg,2,20,0,154,154,0:00.02,0,153,153,0:00.06,0,170,170,0:00.06,0,180,180,0:00.01,0,180,180,0:00.01,0,182,182,0:00.01,0,182,182,0:00.02,0,182,182,0:03.93
medium/planar1302.txtg,2,100,77,117,3,0:00.02,0,29,29,0:00.13,0,82,82,0:00.11,0,119,119,0:00.03,0,119,119,0:00.02,0,137,137,0:00.02,0,166,166,0:00.06,0,166,166,0:36.11
medium/planar1302.txtg,2,20,35,72,8,0:00.01,0,15,15,0:00.11,0,41,41,0:00.09,0,68,68,0:00.01,0,68,68,0:00.01,0,74,74,0:00.01,0,77,77,0:00.03,0,77,77,0:04.99
medium/planar1500.txtg,2,100,0,33,33,0:00.02,0,33,33,0:00.13,0,101,101,0:00.13,0,175,175,0:00.03,0,175,175,0:00.02,0,187,187,0:00.02,0,219,219,0:00.07,0,219,219,0:51.37
medium/planar1500.txtg,2,20,41,92,6,0:00.02,0,22,22,0:00.10,0,72,72,0:00.06,0,95,95,0:00.01,0,95,95,0:00.01,0,102,102,0:00.01,0,105,105,0:00.03,0,105,105,0:07.42
medium/planar2000.txtg,2,100,0,107,107,0:00.03,0,90,90,0:00.13,0,236,236,0:00.16,0,343,343,0:00.04,0,343,343,0:00.02,0,352,352,0:00.02,0,414,414,0:00.07,0,414,414,1:45.18
medium/planar2000.txtg,2,20,0,62,62,0:00.02,0,53,53,0:00.10,0,137,137,0:00.08,0,154,154,0:00.02,0,154,154,0:00.01,0,160,160,0:00.02,0,177,177,0:00.03,0,177,177,0:13.29
medium/planar2500.txtg,2,100,0,196,196,0:00.02,0,166,166,0:00.17,0,335,335,0:00.25,0,484,484,0:00.04,0,484,484,0:00.03,0,491,491,0:00.02,0,578,578,0:00.07,0,577,577,2:11.32
medium/planar2500.txtg,2,20,0,103,103,0:00.01,0,88,88,0:00.08,0,184,184,0:00.08,0,226,226,0:00.02,0,226,226,0:00.01,0,232,232,0:00.01,0,245,245,0:00.02,0,245,245,0:15.71
medium/planar3000.txtg,2,100,0,275,275,0:00.04,0,229,229,0:00.26,0,440,440,0:00.33,0,622,622,0:00.05,0,622,622,0:00.03,0,623,623,0:00.03,0,737,737,0:00.08,0,737,737,2:51.28
medium/planar3000.txtg,2,20,0,130,130,0:00.02,0,119,119,0:00.08,0,237,237,0:00.09,0,278,278,0:00.02,0,278,278,0:00.02,0,282,282,0:00.02,0,292,292,0:00.03,0,292,292,0:19.67
medium/power.txtg,2,100,0,712,712,0:00.16,0,651,651,0:02.40,0,886,886,0:01.91,0,1217,1217,0:00.10,0,1217,1217,0:00.05,0,1231,1231,0:00.03,0,1456,1456,0:00.10,0,1445,1445,4:58.49
medium/power.txtg,2,20,0,384,384,0:00.04,0,359,359,0:00.40,0,524,524,0:00.39,0,545,545,0:00.03,0,545,545,0:00.02,0,565,565,0:00.02,0,595,595,0:00.04,0,595,595,0:38.54
medium/sb-10-0.txtg,2,100,0,36,36,0:00.02,0,29,29,0:00.10,0,88,88,0:00.07,0,115,115,0:00.02,0,115,115,0:00.01,0,123,123,0:00.02,0,146,146,0:00.06,0,148,148,0:15.29
