test,rad,sortdeg1.lsR
lp_wood1p.mtx,5,149
meg1.mtx,5,1357
memchip.mtx,5,6
memplus.mtx,5,164
mhd4800a.mtx,5,103
misc-jung-code-dep.edges,5,280
mk11-b3.mtx,5,4737
mk11-b4.mtx,5,3499
mk12-b5.mtx,5,
model7.mtx,5,848
model9.mtx,5,904
movielens-10m_ui.edges,5,913
mplate.mtx,5,944
nasa4704.mtx,5,250
nemspmm1.mtx,5,676
nemspmm2.mtx,5,688
p05.mtx,5,131
p2p-Gnutella24.mtx,5,2670
p2p-Gnutella25.mtx,5,2220
pcb3000.mtx,5,902
pds10.mtx,5,450
piston.mtx,5,145
psse1.mtx,5,1149
rail_20209.mtx,5,44
rajat10.mtx,5,34
rdist2.mtx,5,1269
rdist3a.mtx,5,909
rel7.mtx,5,847
rosen10.mtx,5,31
scrs8-2r.mtx,5,71
se.mtx,5,33
stokes64.mtx,5,147
stokes64s.mtx,5,147
subelj_jdk.edges,5,289
subelj_jung-j.edges,5,280
ted_B.mtx,5,67
ted_B_unscaled.mtx,5,67
testbig.mtx,5,186
utm5940.mtx,5,266
